seed,class_mean,class_q50,class_q90,class_q95,class_q99,class_max,class_zero_frac,class_var_mean,at_risk_share_total,top5_share_students,student_zero_frac
1,9.62,6.0,20.0,30.0,52.00999999999999,93.0,0.016666666666666666,11.1077496594738,0.6247401247401247,0.5644490644490644,0.07
2,11.333333333333334,8.0,22.0,30.049999999999955,51.00999999999999,117.0,0.011111111111111112,9.842897336910292,0.615686274509804,0.49,0.06
3,12.862222222222222,10.0,24.0,32.0,63.0,175.0,0.0033333333333333335,13.992647901031095,0.619039391845197,0.49403939184519696,0.06666666666666667
4,12.707777777777778,10.0,24.0,32.0,48.00999999999999,68.0,0.0033333333333333335,6.864683083211671,0.5599370464282591,0.4262481419952785,0.06333333333333334
5,10.408888888888889,8.5,19.100000000000023,25.0,39.0,62.0,0.005555555555555556,5.907239185013427,0.577070879590094,0.44278394534585824,0.07333333333333333
6,11.38111111111111,9.0,19.0,27.049999999999955,61.039999999999964,147.0,0.0022222222222222222,11.99011419611342,0.559992189788148,0.4341501513228546,0.10333333333333333
7,7.36,6.0,14.0,17.0,22.00999999999999,72.0,0.011111111111111112,3.814225951540359,0.5181159420289855,0.37182971014492755,0.07333333333333333
8,11.53888888888889,9.0,23.0,28.0,40.00999999999999,78.0,0.0011111111111111111,6.014544058208365,0.5540683678382282,0.384785748675975,0.08
9,10.753333333333334,8.0,22.0,27.0,41.0,69.0,0.005555555555555556,6.629937376171223,0.5458772473651581,0.4208514155817318,0.10666666666666667
10,7.615555555555556,6.0,15.0,21.0,36.0,71.0,0.024444444444444446,6.371681662957219,0.5695943974321565,0.4598774438284214,0.11666666666666667
11,9.421111111111111,8.0,19.0,23.0,33.00999999999999,48.0,0.008888888888888889,4.8795104728412975,0.5127963203207926,0.3840075480599127,0.06666666666666667
12,11.19,8.0,23.0,30.0,48.01999999999998,74.0,0.005555555555555556,8.591067823348554,0.5583358157084699,0.4570549101380201,0.07
13,12.681111111111111,9.0,24.100000000000023,35.049999999999955,73.00999999999999,99.0,0.0022222222222222222,11.899796857534298,0.5789012529571541,0.4593007973363708,0.10333333333333333
14,12.023333333333333,10.0,22.0,28.0,51.01999999999998,100.0,0.005555555555555556,7.583743820336984,0.5608538952037705,0.44136401441641254,0.06
15,10.891111111111112,9.0,21.0,27.0,38.00999999999999,73.0,0.005555555555555556,6.077894706739605,0.5436645582534176,0.4197102632115895,0.07
16,10.97,9.0,20.100000000000023,26.0,38.00999999999999,62.0,0.0044444444444444444,5.356522947101155,0.5583915729768054,0.4351261014889091,0.10666666666666667
17,10.155555555555555,8.0,19.0,27.0,44.00999999999999,89.0,0.014444444444444444,8.06741261260384,0.6393873085339169,0.5211159737417943,0.08333333333333333
18,11.875555555555556,9.0,23.0,32.0,57.00999999999999,150.0,0.01,11.970267196419174,0.6216317365269461,0.5130052395209581,0.09666666666666666
19,8.975555555555555,7.0,16.0,22.0,37.00999999999999,74.0,0.0077777777777777776,5.846984669219271,0.46991829660807133,0.3575142361970785,0.07666666666666666
20,8.163333333333334,6.0,16.0,21.0,35.0,79.0,0.0077777777777777776,6.164599657257212,0.5374982986252892,0.4192187287328161,0.11666666666666667
21,7.227777777777778,6.0,14.0,16.0,21.00999999999999,31.0,0.01,3.100186474167642,0.4700999231360492,0.3320522674865488,0.07666666666666666
22,11.694444444444445,9.0,22.100000000000023,29.0,46.01999999999998,77.0,0.0033333333333333335,7.404043553275084,0.5938242280285035,0.47914489311163894,0.07
23,11.683333333333334,9.0,23.0,30.0,46.00999999999999,78.0,0.008888888888888889,7.274916335951025,0.5557774607703281,0.4299572039942939,0.08333333333333333
24,8.685555555555556,7.0,15.100000000000023,21.0,34.00999999999999,74.0,0.0077777777777777776,5.615810241020859,0.5339644364845849,0.3837789433286427,0.10333333333333333
25,15.45111111111111,10.0,30.0,45.0,108.04999999999995,304.0,0.01,29.696079844536982,0.673018840788149,0.5678843664605207,0.04666666666666667
26,13.41,9.0,29.0,38.049999999999955,65.01999999999998,108.0,0.005555555555555556,12.24923126947748,0.5606926837351893,0.47932720192228023,0.07
27,11.931111111111111,10.0,23.0,29.0,49.01999999999998,82.0,0.0077777777777777776,7.781390344728139,0.5836282361706091,0.4493387967964239,0.08666666666666667
28,10.584444444444445,9.0,20.0,24.0,44.01999999999998,67.0,0.0044444444444444444,6.155126056268459,0.5684442578207013,0.44173840016796134,0.08
29,13.054444444444444,9.0,27.0,37.049999999999955,61.00999999999999,94.0,0.0077777777777777776,11.018313915150141,0.6178398161545664,0.529236530768576,0.08
30,12.87111111111111,9.0,28.100000000000023,35.049999999999955,52.00999999999999,94.0,0.0077777777777777776,9.724293106521056,0.5788156077348067,0.4886049723756906,0.07
31,9.577777777777778,8.0,17.0,23.0,35.01999999999998,58.0,0.0044444444444444444,5.236393104996788,0.4602088167053364,0.36670533642691416,0.06333333333333334
32,13.982222222222223,9.0,30.0,41.0,75.06999999999994,194.0,0.014444444444444444,18.739489451796054,0.6507469802924348,0.5685791481246026,0.05
33,10.985555555555555,9.0,21.0,29.0,45.02999999999997,89.0,0.01,8.235793161276371,0.5348437341964195,0.4280368160210377,0.05333333333333334
34,8.615555555555556,7.0,18.0,22.0,34.00999999999999,44.0,0.021111111111111112,4.959725691831379,0.5326283208666495,0.42429713696156823,0.08333333333333333
35,15.241111111111111,11.0,29.0,40.0,74.09999999999991,153.0,0.0011111111111111111,14.181732466950919,0.6382590945542028,0.5256251366916964,0.07666666666666666
36,8.681111111111111,7.0,16.100000000000023,20.0,27.0,36.0,0.008888888888888889,3.748883061472942,0.4445155510047357,0.3185716114168693,0.06666666666666667
37,9.166666666666666,8.0,17.0,21.0,33.0,67.0,0.006666666666666667,5.10227525533421,0.5655757575757576,0.444,0.06
38,9.834444444444445,8.0,18.0,23.0,43.039999999999964,70.0,0.016666666666666666,6.734217547233905,0.5401649531126427,0.4269574059428313,0.08666666666666667
39,9.524444444444445,8.0,18.100000000000023,25.0,34.0,57.0,0.014444444444444444,5.468799521633671,0.49801679888007466,0.37610825944937004,0.05333333333333334
40,12.654444444444444,10.0,22.100000000000023,32.049999999999955,56.00999999999999,171.0,0.005555555555555556,10.773365807473228,0.6025111950127315,0.4658003336552814,0.09333333333333334
41,13.295555555555556,8.0,22.0,34.0,125.02999999999997,252.0,0.0077777777777777776,35.4807888200848,0.657529667390941,0.5683603543372889,0.07333333333333333
42,11.764444444444445,8.0,24.0,35.049999999999955,57.02999999999997,138.0,0.0033333333333333335,12.72948787071056,0.6701926709482433,0.5436343029845108,0.06666666666666667
43,11.73,9.0,23.100000000000023,30.0,52.01999999999998,107.0,0.005555555555555556,9.094825452548866,0.5836885478829212,0.47901866060433834,0.06333333333333334
44,14.921111111111111,11.0,27.100000000000023,38.049999999999955,86.12999999999988,232.0,0.0011111111111111111,19.795425469641305,0.6239481718668554,0.510164569215876,0.056666666666666664
45,12.357777777777779,9.0,24.0,34.0,60.049999999999955,110.0,0.0044444444444444444,10.692405135958973,0.6412515734580112,0.5366840496313613,0.07666666666666666
46,12.794444444444444,10.0,23.100000000000023,29.049999999999955,51.0,94.0,0.0,7.4499600801199,0.5961788970907512,0.4500217108119844,0.08666666666666667
47,9.63,8.0,17.0,22.0,33.00999999999999,61.0,0.0077777777777777776,4.757771702029599,0.4944040613822545,0.3619476173993308,0.07666666666666666
48,11.38,9.0,20.0,29.0,54.039999999999964,82.0,0.0077777777777777776,8.505451282522465,0.6112087482913493,0.47012302284710017,0.07
49,14.5,11.0,28.0,35.049999999999955,65.03999999999996,185.0,0.006666666666666667,12.333780829273906,0.5862068965517241,0.4606896551724138,0.05333333333333334
50,11.828888888888889,8.0,25.0,34.0,54.00999999999999,87.0,0.0077777777777777776,10.2463697217586,0.5460266766860793,0.45838812699605486,0.08
